"Gene"
"IFI44L"
"XAF1"
"IFIT3"
"HERC5"
"IRF7"
"IFIT1"
"LY6E"
"RSAD2"
"IFI6"
"IFI35"
"UBE2L6"
"DDX58"
"EIF2AK2"
"TAGAP"
"EHD3"
"SIRT1"
"SERPING1"
"ISG15"
"SAMD9L"
"CMPK2"
"SMOX"
"LGALS3BP"
"LCN2"
"USP18"
"IFIH1"
"ARHGAP6"
"SH3TC2"
"MYLK"
"HERC6"
"MIR6843"
"MMD"
"GNAZ"
"SPARC"
"JAM3"
"HBP1"
"BIRC3"
"COX5A"
"HIST1H4H"
"EPSTI1"
"C1orf198"
"IFIT2"
"ETV7"
"ITGB5"
"DGKI"
"HIST1H2AC"
"TRIM22"
"ZNF791"
"PF4"
"OASL"
"COX6A1"
"KDM3A"
"IFI44"
"GUCY1A3"
"MGLL"
"IFIT5"
"ZNF571"
"CHD1"
"TXN"
"HESX1"
"HRASLS"
"KLHL24"
"SSBP1"
"CALD1"
"SNRK"
"SDPR"
"LRIG2"
"BEND2"
"ACRBP"
"TMEM40"
"ZNF184"
"IL23A"
"SP100"
"CTTN"
"CDC20"
"TM2D3"
"IFITM1"
"PARD3"
"NFE2L2"
"TUBA8"
"VCL"
"C16orf72"
"RBCK1"
"BTG2"
"ASTE1"
"RHOBTB1"
"C19orf66"
"DHX58"
"KIF3C"
"CMTM5"
"TK1"
"PRMT9"
"PLK1"
"MUC19"
"PLXNB2"
"SAMD9"
"ABLIM3"
"NR1D2"
"ZNF14"
"NT5M"
"WDR33"
